"tree_id","perimeter_cm","hull_perimeter_cm","convexity","area_cm2","hull_area_cm2","area_ratio","DBH_cm","perimeter_to_area","deepest_concave_depth_cm","concave_depth_over_dbh","sapwood_depth_cm","r_sapwood","r_steiner","swd_minus_r_steiner","incircle_R_cm","R_cm","r_in","sapflow_ref","r_in_pred","r_steiner_pred","sapflow_circ","sapflow_steiner","sapflow_corr","SF_circ_bias","SF_steiner_bias","SF_corr_bias"
"1001",140.233587686855,139.142044271822,0.99221624838216,1465.01374099756,1485.25608964391,0.986371139100193,44.2902882755436,0.0957216876282451,1.42911537186187,0.0322670144518117,12.19476237,0.550674328156665,0.523779413612904,0.0268949145437616,18.75,22.1451441377718,0.846686744658353,1378.52085706226,0.843672506503842,0.547003369292749,1371.63766569745,1384.94877826032,1384.94876846023,-0.00499317172427649,0.00466291181967081,0.0046629047105382
"1002",206.989816635406,195.523767172866,0.944605731581775,2506.86216211114,2716.9078365937,0.922689436993967,62.2371480750208,0.0825692851261878,8.40934611508478,0.135117793394841,13.67202281,0.439352484259713,0.226002715243858,0.213349769015855,22.25,31.1185740375104,0.715007055695412,2382.78898599887,0.712309125930021,0.252222999271006,2264.48656113589,2421.25065092834,2400.99820835144,-0.0496487207042344,0.0161414481750006,0.00764197856359256
"1003",199.685691296309,196.235091841898,0.98271984621427,2828.11272835997,2916.04441731299,0.969845559131075,62.4635697494604,0.0706074016406364,5.4119202034005,0.0866412250389716,13.68779236,0.438264813071086,0.440719632689046,-0.0024548196179599,25.3,31.2317848747302,0.810072178118464,2316.44162963859,0.794131636547314,0.41990711015051,2276.36295666936,2323.59404551885,2323.58735878104,-0.017301827275259,0.00308767369259589,0.00308478705054449
"1009",209.251690669674,208.272345910269,0.995319776120941,3358.60851220207,3374.47152569859,0.995299111764401,66.2951467219287,0.0623030906726543,1.44712904416392,0.0218285819659442,13.94631524,0.420734123977342,0.657909527296811,-0.237175403319469,30.1,33.1475733609643,0.908060438458724,2486.79720014044,0.864861029919876,0.625523837567025,2479.34874791813,2493.00699866144,2493.00699866144,-0.00299519889353571,0.00249710692960957,0.00249710692960957
"1010",506.034396771204,396.041667454248,0.782637840394301,8935.80815523044,11313.7388957881,0.789819195717616,126.0639780914,0.0566299531033468,59.8971258892432,0.475132760333931,16.73712208,0.265533776315786,0.114244402429284,0.151289373886502,32.45,63.0319890457002,0.514817959758064,7556.82088173103,0.461061169393975,0.111770814232047,6016.07716405648,7857.03890254677,7599.02293370541,-0.203887817613803,0.0397280848010471,0.00558463044643646
"80",523.591229921747,355.507457868892,0.678979015599677,5999.25235087602,9065.86026522252,0.661741100719333,113.161538451736,0.0872760803011215,38.269144835327,0.338181553193085,16.26824846,0.287522574941636,0.0884490499771406,0.199073524964495,23.15,56.5807692258679,0.409149615969098,6924.04135926646,0.481985566572035,0.0824071993831484,5204.80067890354,7939.22924475339,7432.82151541869,-0.248300174877214,0.146617825170599,0.073480230656237
"78",134.84033434794,126.213671453067,0.9360231273781,976.621488935611,1118.87855670451,0.872857454532064,40.1750593950642,0.138068162410494,9.23455181049592,0.2298578259633,11.77128595,0.585999678768175,0.238054737187735,0.34794494158044,12.3,20.0875296975321,0.612320189949048,1208.13537023735,0.666795597529747,0.234351179085517,1182.72212139261,1284.26903712241,1227.36530345318,-0.0210351004289697,0.0630174968473189,0.0159170352011572
"198",65.4109599436864,65.3697380467521,0.999369801376256,330.832144650084,331.135586606412,0.999083632298668,20.8078338775259,0.1977164583353,0.347144870261999,0.0166833737862999,8.914282047,0.856819801567921,0.810632921263267,0.0461868803046549,9.1,10.4039169387629,0.874670573935014,408.2797318532,0.921439455494904,0.856540372983474,408.97146532373,409.338928939515,409.338928939093,0.00169426355648509,0.00259429259813373,0.00259429259710067
"96",196.203589097553,191.75050641238,0.977303765411963,2740.24880953585,2806.99770343084,0.976220538473046,61.0360818718089,0.0716006475086421,4.04758662222479,0.0663146535310988,13.58740111,0.445225207559586,0.462418096249792,-0.0171928886902061,24,30.5180409359045,0.786420073634675,2255.75188059987,0.786392154789088,0.377655225970978,2201.71599633977,2262.22181695921,2261.73037220442,-0.0239547109435354,0.0028681950417406,0.0026503320936844
"95",324.611927182803,318.709847102877,0.981818043067156,6512.23375786915,7039.69552442216,0.92507321307816,101.44849515697,0.0498464796031858,7.50890865254692,0.0740169545238543,15.79376473,0.311365184975144,0.164856741114344,0.1465084438608,32.15,50.7242475784851,0.633819160161117,4518.92345107159,0.795261590925216,0.411930851274827,4488.20911855566,4581.42518275562,4581.42518275562,-0.00679682513954688,0.0138311109627684,0.0138311109627684
"94",207.188625766802,206.167024970577,0.995069223552001,3283.59840527222,3306.42223729347,0.993097121183188,65.6250022532352,0.0630980406843099,1.57337333130996,0.0239752118443912,13.90219571,0.423685949947976,0.616395015958009,-0.192709066010033,30.05,32.8125011266176,0.915809492365193,2451.83342630329,0.862582683073643,0.617709676774655,2443.57781786079,2457.78031206739,2457.78031206739,-0.00336711636032492,0.00242548523089068,0.00242548523089068
"82",184.734216413622,184.044001176745,0.996263739061031,2625.70354441487,2634.04418986877,0.996833521060132,58.5830250673791,0.0703560829654855,0.630014599410938,0.0107542176029034,13.40927083,0.457786903785777,0.787409117850672,-0.329622214064896,26.35,29.2915125336895,0.899577991054359,2073.97196896472,0.874683274811062,0.658468664671546,2074.73575618074,2083.99103922302,2083.99103922302,0.000368272680368105,0.00483086097991035,0.00483086097991035
"81",48.2805974631396,48.2522908103659,0.999413705416647,184.130927391252,184.34178942552,0.998856135470281,15.3591811959547,0.262207974223419,0.358370331991724,0.0233326456286687,7.595829021,0.989092963236943,0.962274364467334,0.0268185987696085,7.4,7.67959059797737,0.963593033455324,240.150299931157,0.922139548691631,0.86207812467555,240.359696951208,240.574709445834,240.417578855339,0.000871941530414657,0.00176726622785279,0.00111296518996435
"183",51.2928522528979,51.2162644503903,0.998506852336267,206.833552396496,207.133662365695,0.998551128938814,16.3026433079627,0.247990964998612,0.392647189863974,0.0240848789025639,7.85470213,0.963610867467553,0.932107221733911,0.0315036457336422,7.7,8.15132165398133,0.944632088740985,266.980601400395,0.899577441424219,0.775460863355108,267.38645045736,267.988024832849,267.477574585769,0.00152014436568272,0.00377339562189073,0.00186145803390615
"91",141.051125895306,140.745863612295,0.997835803996079,1536.05053016369,1542.08332272143,0.996087894558712,44.8007998272689,0.0918271392284699,0.88203613915879,0.0196879551829323,12.24452987,0.546621038785433,0.763779185206476,-0.217158146421043,20.5,22.4003999136345,0.915162232774347,1397.09035323989,0.88991495568943,0.731778401107435,1395.54097059751,1399.27876374002,1399.27876374002,-0.00110900675735826,0.00156640584845318,0.00156640584845318
"90",41.0315636085791,41.0138659878273,0.999568682760409,131.202254282637,131.411817987429,0.998405290269922,13.0551190145425,0.312735202858545,0.363528307448225,0.0278456525017718,6.890029033,1,0.840513228080065,0.159486771919935,6.05,6.52755950727127,0.926839501541226,177.758839832631,0.927910214149684,0.883642082837544,174.553733959932,174.669256232527,174.580124483598,-0.0180306412649652,-0.0173807592523292,-0.0178821787542391
"89",54.619770096015,54.6038627442389,0.999708762015142,234.962111235504,235.187087163469,0.999043417176183,17.380949335314,0.232462033171251,0.340617038589947,0.019597148119976,8.132828311,0.935832462784528,0.913008622609516,0.0228238401750116,8.3,8.690474667657,0.955068660505943,299.154150800918,0.936211719331064,0.906907242366064,299.459190913295,299.588562674173,299.585468927121,0.00101967534650518,0.00145213386507068,0.00144179221664631
"1012",293.228015508951,265.408388629465,0.905126299643644,4623.25332122603,5084.60828399568,0.909264404060031,84.4821139768684,0.0634246049557133,13.2554365285312,0.156902282679154,14.99903777,0.355081970939004,0.171048834006991,0.184033136932012,29.1,42.2410569884342,0.688903215844426,3802.7241400269,0.667221610513105,0.189233978280053,3488.96015282805,3906.22778714076,3866.05934449187,-0.0825103204032641,0.0272182896530399,0.0166552192935379
